symbol,price,rsi,vol_ratio,sma_20,atr,signal,timestamp
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T18:05:11.546670
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T18:05:11.546671
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T18:05:11.546672
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-24T18:05:11.546673
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T18:05:11.546674
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T18:05:11.546675
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T18:05:11.546676
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T18:05:11.546678
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T18:05:11.546679
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T18:05:11.546680
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T18:05:11.546681
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T18:05:11.546682
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T18:05:11.546683
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T18:05:11.546684
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T18:05:11.546685
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T18:05:11.546686
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T18:05:11.546687
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T18:05:11.546689
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T18:05:11.546690
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T18:05:11.546691
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T18:05:11.546692
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T18:05:11.546693
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T18:05:11.546694
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T18:05:11.546695
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T18:05:11.546696
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-24T18:05:11.546697
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-24T18:05:11.546699
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-24T18:05:11.546700
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T18:25:18.968003
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T18:25:18.968012
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T18:25:18.968015
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T18:25:18.968016
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T18:25:18.968018
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T18:25:18.968019
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T18:25:18.968021
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T18:25:18.968022
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T18:25:18.968024
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T18:25:18.968025
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T18:25:18.968026
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T18:25:18.968028
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T18:25:18.968029
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T18:25:18.968030
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T18:25:18.968032
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T18:25:18.968033
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T18:25:18.968034
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T18:25:18.968036
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T18:25:18.968037
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T18:25:18.968038
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T18:25:18.968040
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T18:25:18.968041
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-24T18:25:18.968042
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T18:25:18.968044
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T18:25:18.968045
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T18:25:18.968046
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T18:25:18.968048
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T18:25:18.968049
POWERGRID,299.0,54.5,1.3,Below,9.2,SKIP,2026-03-24T18:25:18.968050
ONGC,268.05,51.1,0.7,Below,8.3,SKIP,2026-03-24T18:25:18.968052
COALINDIA,442.1,49.2,1.4,Below,15.6,SKIP,2026-03-24T18:25:18.968053
TATASTEEL,190.79,45.6,0.9,Below,7.0,SKIP,2026-03-24T18:25:18.968054
HINDALCO,854.65,36.8,0.5,Below,36.0,SKIP,2026-03-24T18:25:18.968056
JSWSTEEL,1133.7,42.1,0.7,Below,41.9,SKIP,2026-03-24T18:25:18.968057
SUNPHARMA,1753.3,48.5,0.7,Below,35.6,SKIP,2026-03-24T18:25:18.968058
DRREDDY,1259.6,44.7,1.7,Below,32.3,SKIP,2026-03-24T18:25:18.968060
CIPLA,1219.4,26.0,0.6,Below,26.2,SKIP,2026-03-24T18:25:18.968061
APOLLOHOSP,7413.0,47.1,1.4,Below,194.8,SKIP,2026-03-24T18:25:18.968062
ADANIENT,1817.9,26.9,5.8,Below,66.4,SKIP,2026-03-24T18:25:18.968064
ADANIPORTS,1344.2,39.3,1.1,Below,48.9,SKIP,2026-03-24T18:25:18.968065
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T18:25:18.968066
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T18:25:18.968068
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T18:25:18.968069
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T18:25:18.968070
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-24T18:25:18.968072
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-24T18:25:18.968073
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-24T18:25:18.968074
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T20:36:51.980310
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T20:36:51.980319
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T20:36:51.980321
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T20:36:51.980323
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T20:36:51.980324
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T20:36:51.980325
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T20:36:51.980326
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T20:36:51.980328
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T20:36:51.980329
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T20:36:51.980330
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T20:36:51.980331
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T20:36:51.980332
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T20:36:51.980333
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T20:36:51.980334
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T20:36:51.980335
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T20:36:51.980336
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T20:36:51.980337
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T20:36:51.980339
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T20:36:51.980340
BRITANNIA,5513.5,30.3,1.5,Below,139.2,SKIP,2026-03-24T20:36:51.980341
TATACONSUM,1053.1,38.3,1.1,Below,27.5,SKIP,2026-03-24T20:36:51.980342
MARUTI,12464.0,29.6,1.0,Below,434.3,SKIP,2026-03-24T20:36:51.980343
SHRIRAMFIN,903.6,36.0,1.5,Below,50.0,SKIP,2026-03-24T20:36:51.980344
M&M,3031.3,39.9,1.0,Below,121.6,SKIP,2026-03-24T20:36:51.980345
BAJAJ-AUTO,8898.0,40.1,1.3,Below,297.3,SKIP,2026-03-24T20:36:51.980346
HEROMOTOCO,5253.0,44.4,0.9,Below,196.9,SKIP,2026-03-24T20:36:51.980347
BHARTIARTL,1802.1,36.3,0.7,Below,41.3,SKIP,2026-03-24T20:36:51.980348
NTPC,375.55,51.0,0.6,Below,10.4,SKIP,2026-03-24T20:36:51.980349
